site_id,type,release_date,pit_tag_id
70370,translocation,2016-07-30,900043000108171
70370,translocation,2016-07-30,900067000078025
70370,translocation,2016-07-30,900067000078068
70370,translocation,2016-07-30,900067000078105
70370,translocation,2016-07-30,900067000078126
70370,translocation,2016-07-30,900067000078174
70370,translocation,2016-07-30,900067000078224
70370,translocation,2016-07-30,900067000078229
70370,translocation,2016-07-30,900067000078245
70370,translocation,2016-07-30,900067000078251
70370,translocation,2016-07-30,900067000078261
70370,translocation,2016-07-30,900067000078264
70370,translocation,2016-07-30,900067000078279
70370,translocation,2016-07-30,900067000078329
70370,translocation,2016-07-30,900067000078357
70370,translocation,2016-07-30,900067000078376
70370,translocation,2016-07-30,900067000078390
70370,translocation,2016-07-30,900067000078418
70370,translocation,2016-07-30,900067000078419
70370,translocation,2016-07-30,900067000078423
70370,translocation,2016-07-30,900067000078458
70370,translocation,2016-07-30,900067000078478
70370,translocation,2016-07-30,900067000114082
70370,translocation,2016-07-30,900067000114084
70370,translocation,2016-07-30,900067000114087
70370,translocation,2016-07-30,900067000114088
70370,translocation,2016-07-30,900067000114090
70370,translocation,2016-07-30,900067000114091
70370,translocation,2016-07-30,900067000114093
70370,translocation,2016-07-30,900067000114096
70370,translocation,2016-07-30,900067000114103
70370,translocation,2016-07-30,900067000114106
70370,translocation,2016-07-30,900067000114109
70370,translocation,2016-07-30,900067000114111
70370,translocation,2016-07-30,900067000114117
70370,translocation,2016-07-30,900067000114124
70370,translocation,2016-07-30,900067000114131
70370,translocation,2016-07-30,900067000114135
70370,translocation,2016-07-30,900067000114140
70370,translocation,2016-07-30,900067000114141
70370,translocation,2016-07-30,900067000114149
70370,translocation,2016-07-30,900067000114160
70370,translocation,2016-07-30,900067000114161
70370,translocation,2016-07-30,900067000114162
70370,translocation,2016-07-30,900067000114163
70370,translocation,2016-07-30,900067000114165
70370,translocation,2016-07-30,900067000114167
70370,translocation,2016-07-30,900067000114170
70370,translocation,2016-07-30,900067000114172
70370,translocation,2016-07-30,900067000114174
70370,translocation,2018-07-04,900067000114095
70370,translocation,2018-07-04,900067000114100
70370,translocation,2018-07-04,900067000114122
70370,translocation,2018-07-04,900067000114129
70370,translocation,2018-07-04,900067000114169
70370,translocation,2018-07-04,900067000117290
70370,translocation,2018-07-04,900067000117291
70370,translocation,2018-07-04,900067000117292
70370,translocation,2018-07-04,900067000117308
70370,translocation,2018-07-04,900067000117318
70370,translocation,2018-07-04,900067000117322
70370,translocation,2018-07-04,900067000117360
70370,translocation,2018-07-04,900067000117586
70370,translocation,2018-07-04,900067000117634
70370,translocation,2018-07-04,900067000117647
70370,translocation,2018-07-04,900067000117648
70370,translocation,2018-07-04,900067000117676
70370,translocation,2018-07-04,900067000117678
